"seqnames"	"start"	"end"	"width"	"strand"	"Conc"	"Conc_control"	"Conc_treated"	"Fold"	"p.value"	"FDR"	"BL615"	"BL616"	"BL617"	"BL618"	"BL611"	"BL612"	"BL613"	"BL614"
"15"	"LVXM01046961.1"	24424	24574	151	"*"	2.49120373067254	1.40752231830797	3.1030150941447	-0.0223921818185937	0.00724544729110928	0.999980205328981	4.86	0.99	1.14	3.63	10.42	4.74	8.91	10.31
"16"	"16"	11965923	11966073	151	"*"	2.88625189083482	3.41764577744953	2.03596663197471	0.0269825675661795	0.00734786971910222	0.999980205328981	11.65	7.94	11.36	11.79	0.95	5.68	6.68	3.09
"17"	"9"	119799571	119799721	151	"*"	2.85541846732265	3.3805889588525	2.02122460047604	0.025762434089729	0.00831952461547244	0.999980205328981	10.68	11.92	9.09	9.97	1.89	5.68	5.57	3.09
"18"	"17"	11868419	11868569	151	"*"	2.91566369963363	3.43515436757898	2.0959412044096	0.0261835188627643	0.00834108454481298	0.999980205328981	9.71	12.91	7.95	12.69	2.84	6.63	5.57	2.06
"19"	"5"	5125521	5125671	151	"*"	0.32998297365505	0	1.32998297365505	-0.0072197918750773	0.00844462378140197	0.999980205328981	0	0	0	0	1.89	1.89	1.11	5.15
"20"	"14"	47490297	47490447	151	"*"	3.83071286471945	4.23311378557008	3.27069623934468	0.034388798424185	0.0086288988003158	0.999980205328981	14.57	21.85	21.58	17.23	11.36	11.37	5.57	10.31
"21"	"5"	2317885	2318035	151	"*"	0.693616557177686	0	1.58881030632888	-0.00751139842337124	0.011629015587362	0.999980205328981	0	0	0	0.91	4.73	0.95	2.23	4.12
"22"	"3"	150977415	150977565	151	"*"	3.51291472215328	3.92856458047859	2.92672672303067	0.0277444125730756	0.0116410823082933	0.999980205328981	16.51	14.9	15.9	13.6	4.73	7.58	7.8	10.31
"23"	"14"	36332113	36332263	151	"*"	2.32374539985364	1.29349968840742	2.91865051728446	-0.0179137817041571	0.0118108752959987	0.999980205328981	2.91	0.99	2.27	3.63	8.52	6.63	8.91	6.19
"24"	"18"	32537531	32537681	151	"*"	3.27242783656737	3.73207237443785	2.59388739850144	0.0246852847098924	0.012277468937509	0.999980205328981	6.8	13.9	17.04	15.41	2.84	8.52	5.57	7.22
"25"	"14"	82497862	82498012	151	"*"	0.673758031525985	1.5420333536202	0	0.00743620416455933	0.0124610363380049	0.999980205328981	2.91	3.97	1.14	3.63	0	0	1.11	0
"26"	"LVXM01047247.1"	100	250	151	"*"	3.21231715819318	3.66381940692714	2.55153796094238	0.0244646421006951	0.0125482446383185	0.999980205328981	12.62	17.88	10.22	9.97	4.73	4.74	7.8	6.19
"27"	"X"	173055939	173056089	151	"*"	4.12026269559351	3.61007200866763	4.49640899298258	-0.0287020224596384	0.0126272489981275	0.999980205328981	19.42	6.95	12.5	9.97	25.56	19.89	34.52	10.31
"28"	"7"	42667305	42667455	151	"*"	3.52111409956837	2.94570724703619	3.93134993513767	-0.0265856247651164	0.0128436896864049	0.999980205328981	9.71	7.94	6.82	6.35	13.26	18	12.25	17.53
"29"	"18"	91878776	91878926	151	"*"	1.99990306759054	2.66021370253023	0.746910991323392	0.0145631739805958	0.0129060767728825	0.999980205328981	4.86	7.94	7.95	4.53	2.84	2.84	0	1.03
"30"	"10"	85196096	85196246	151	"*"	2.51616177330047	3.06534939424412	1.61845304353246	0.0182702714533241	0.0135539433627566	0.999980205328981	5.83	12.91	5.68	9.07	2.84	1.89	4.45	3.09
"31"	"2"	153110051	153110201	151	"*"	2.32249155002576	2.90501365591817	1.32978806350227	0.0169767871006042	0.0136777694240901	0.999980205328981	4.86	6.95	9.09	9.07	2.84	1.89	2.23	3.09
"32"	"3"	135713014	135713164	151	"*"	1.85576205397978	2.5197466116679	0.588846792909902	0.0133076453542725	0.0140413800126412	0.999980205328981	6.8	2.98	6.82	6.35	1.89	0.95	1.11	2.06
"33"	"LVXM01047561.1"	7699	7849	151	"*"	3.44609434137636	2.8107347336801	3.88568522029779	-0.0241860593557906	0.0141183626121774	0.999980205328981	10.68	6.95	2.27	8.16	18.94	15.15	17.82	7.22
"34"	"LVXM01048908.1"	14822	14972	151	"*"	2.58785302022412	3.12033324693551	1.73473322019819	0.0179762901702898	0.0152659489063441	0.999980205328981	4.86	12.91	7.95	9.07	2.84	1.89	4.45	4.12
"35"	"4"	156557113	156557263	151	"*"	2.86149798729444	3.350109452415	2.11707411844708	0.0201039958933886	0.0152697115103777	0.999980205328981	7.77	11.92	10.22	10.88	2.84	2.84	4.45	7.22
"36"	"X"	121158091	121158241	151	"*"	0.603941409423951	0	1.49214681984941	-0.00699880947868633	0.0154224099343991	0.999980205328981	0	0	0	0.91	1.89	1.89	3.34	4.12
"37"	"LVXM01047706.1"	2273	2423	151	"*"	2.82206588813558	2.01697834413436	3.33573111102888	-0.0194537297430232	0.0157920040717182	0.999980205328981	3.88	5.96	0	6.35	9.47	9.47	11.14	10.31
"38"	"1"	4223918	4224068	151	"*"	0.584342696842176	0	1.45966291264136	-0.00696942389141333	0.0158543667041773	0.999980205328981	0	0.99	0	0	2.84	2.84	2.23	3.09
"39"	"5"	91041235	91041385	151	"*"	2.10375185658655	2.71293369329741	1.02855440137237	0.0144897333618952	0.0159196177513711	0.999980205328981	5.83	4.97	9.09	6.35	0.95	2.84	3.34	1.03
"40"	"13"	126255460	126255610	151	"*"	5.06045687297505	4.7493245065577	5.3162489832546	-0.0292540997623177	0.0159603395501201	0.999980205328981	36.9	24.83	29.53	16.32	39.77	50.2	32.29	37.11
"41"	"15"	77827783	77827933	151	"*"	3.48787451716781	3.90096606369631	2.90679606531707	0.0235407902912811	0.0162009942281514	0.999980205328981	12.62	14.9	20.45	11.79	6.63	8.52	5.57	9.28
"42"	"LVXM01049139.1"	279	429	151	"*"	2.17642421105129	1.17099213730559	2.76319286740022	-0.0150969346798129	0.0165451262110903	0.999980205328981	1.94	2.98	2.27	1.81	5.68	7.58	6.68	7.22
"43"	"7"	62589701	62589851	151	"*"	0.144352316202693	1.14435231620269	0	0.00598720845423202	0.0166089306181554	0.999980205328981	2.91	2.98	1.14	1.81	0	0	0	0
"44"	"19"	55900034	55900184	151	"*"	1.3208453627502	2.08545700452123	0	0.00908061952888872	0.0166840042638357	0.999980205328981	5.83	2.98	4.54	3.63	0.95	0	0	2.06
"45"	"4"	159667825	159667975	151	"*"	2.70738764283064	3.21765009034753	1.91075351724378	0.0184094405171715	0.0168714844952742	0.999980205328981	6.8	7.94	12.5	9.97	3.79	3.79	3.34	4.12
"46"	"2"	120261494	120261644	151	"*"	0.571500849622142	0	1.44855689725456	-0.00675983802749643	0.017214584187431	0.999980205328981	0.97	0	0	0	4.73	1.89	2.23	2.06
"47"	"13"	31078759	31078909	151	"*"	3.88491415378165	3.40796999382992	4.24274999941721	-0.0247046137583316	0.0174082081148994	0.999980205328981	11.65	9.93	9.09	11.79	27.46	15.15	15.59	17.53
"48"	"14"	112209358	112209508	151	"*"	1.80375877972103	2.45931224543576	0.568546036872833	0.0123073181713154	0.0176542752373993	0.999980205328981	5.83	5.96	5.68	4.53	2.84	0.95	1.11	1.03
"49"	"9"	130481401	130481551	151	"*"	6.04225890967485	5.8331143378311	6.22488765099882	-0.0305144452773878	0.0176779266875688	0.999980205328981	63.12	62.56	53.39	48.96	76.69	84.29	70.16	68.04
"50"	"LVXM01048185.1"	4433	4583	151	"*"	5.9289911310371	5.70108859303398	6.1257550295659	-0.0298380884604798	0.0179609771384608	0.999980205328981	43.7	56.61	53.39	54.4	74.8	52.09	81.29	71.13
"51"	"X"	110625156	110625306	151	"*"	0.553428806725652	0	1.43748629428703	-0.00663503841066047	0.0181373201463484	0.999980205328981	0	0	0	0.91	3.79	3.79	2.23	1.03
"52"	"LVXM01048159.1"	8495	8645	151	"*"	2.27603035717989	2.85931491198522	1.28105251726261	0.0148825705694243	0.0183407809338239	0.999980205328981	8.74	8.94	6.82	4.53	2.84	4.74	1.11	1.03
"53"	"2"	147573264	147573414	151	"*"	0.581793190474437	0	1.45976124390057	-0.00653630827163447	0.0185953593782661	0.999980205328981	0.97	0	0	0	3.79	0.95	1.11	5.15
"54"	"6"	58942654	58942804	151	"*"	0.574122568298801	0	1.44851668437277	-0.00653963231289092	0.0186911496906057	0.999980205328981	0	0.99	0	0	5.68	0.95	2.23	2.06
"55"	"5"	62474834	62474984	151	"*"	1.64901254883111	2.32338204709956	0.341799791242315	0.0109431699217995	0.0194743144242361	0.999980205328981	6.8	5.96	4.54	2.72	0.95	0.95	1.11	2.06
"56"	"4"	156686982	156687132	151	"*"	3.9178947657184	3.47374492095997	4.25701239522468	-0.0236674689997011	0.0195805152435466	0.999980205328981	9.71	7.94	15.9	10.88	18.94	18.94	20.04	18.56
"57"	"14"	108154061	108154211	151	"*"	1.06943083860957	1.86410164396966	0	0.00716629058448742	0.0199176262115679	0.999980205328981	5.83	3.97	1.14	3.63	0	0	2.23	0
"58"	"9"	130489991	130490141	151	"*"	3.36512695048035	2.76861089078269	3.78590671676466	-0.0204979569081442	0.0202285459258003	0.999980205328981	12.62	3.97	3.41	7.25	16.1	12.31	13.36	13.4
"59"	"LVXM01047669.1"	15653	15803	151	"*"	3.95497148489892	4.29979047027319	3.50095640147316	0.0230100451078809	0.0206070271920548	0.999980205328981	25.25	12.91	21.58	19.04	15.15	7.58	12.25	10.31
"60"	"10"	135910820	135910970	151	"*"	1.63232251276096	2.32667200454472	0.243382888145655	0.0102899724418172	0.0207485208961084	0.999980205328981	6.8	3.97	1.14	8.16	1.89	2.84	0	0
"61"	"LVXM01047985.1"	11246	11396	151	"*"	3.61887432511768	3.07339797461569	4.01375594079745	-0.0214001082836748	0.0208936263607891	0.999980205328981	9.71	6.95	3.41	13.6	15.15	17.05	20.04	12.37
"62"	"3"	22088656	22088806	151	"*"	1.91353730488573	0.811572857291649	2.53094704658262	-0.0122004821331972	0.0212588269449605	0.999980205328981	1.94	0.99	2.27	1.81	2.84	8.52	5.57	6.19
"63"	"19"	10285439	10285589	151	"*"	1.44199311518776	2.14547590231855	0.0136943036468079	0.00961550287635691	0.0213386184069725	0.999980205328981	3.88	4.97	3.41	5.44	1.89	0	1.11	1.03
"64"	"8"	13637688	13637838	151	"*"	1.67166396384346	2.33990241789164	0.388412821197715	0.0104711129594625	0.021358209468179	0.999980205328981	2.91	8.94	5.68	2.72	0.95	0	2.23	2.06
"65"	"3"	158800797	158800947	151	"*"	1.22671560324184	1.98165458349485	0	0.00841696239788309	0.0216782910693274	0.999980205328981	3.88	3.97	3.41	4.53	0.95	0.95	0	1.03
"66"	"LVXM01046153.1"	11815	11965	151	"*"	3.48432972200853	3.87457036924889	2.9477178115534	0.0207807596927921	0.0216845462518534	0.999980205328981	17.48	11.92	14.77	14.51	7.57	9.47	5.57	8.25
"67"	"16"	56442739	56442889	151	"*"	2.73487239005246	3.2360185843092	1.96054817036864	0.0165858054082498	0.0217733380410675	0.999980205328981	10.68	7.94	9.09	9.97	7.57	4.74	2.23	1.03
"68"	"X"	10131449	10131599	151	"*"	1.02577612581161	1.83063095881212	0	0.00704227328952548	0.0218867629406352	0.999980205328981	1.94	2.98	5.68	3.63	0	0.95	1.11	0
"69"	"8"	19366309	19366459	151	"*"	1.49098138770333	2.18577037704042	0.100177807110115	0.00947291340018199	0.0219285591733789	0.999980205328981	5.83	3.97	5.68	2.72	0.95	0	3.34	0
"70"	"17"	2638574	2638724	151	"*"	0.974587043863607	0	1.79107022871768	-0.00700767597084987	0.0220232254094226	0.999980205328981	0.97	0	0	0.91	3.79	4.74	2.23	3.09
"71"	"1"	12989927	12990077	151	"*"	9.43820537399961	9.52643130692546	9.34423064415596	0.0386104475882028	0.0221947715151986	0.999980205328981	741.96	741.83	705.42	760.65	610.71	671.52	654.8	662.86
"72"	"LVXM01047178.1"	4784	4934	151	"*"	1.26056778488583	0	1.99898161580571	-0.00828617498855225	0.022226431892699	0.999980205328981	0	0	2.27	0.91	2.84	4.74	2.23	6.19
"73"	"1"	151095659	151095809	151	"*"	1.25824150404229	2.01144200402804	0	0.00827727277763051	0.0223057163563563	0.999980205328981	1.94	3.97	5.68	4.53	0	0.95	0	2.06
"74"	"8"	110051661	110051811	151	"*"	3.67581314638671	4.04571213905951	3.17709971601809	0.0209840503253325	0.0226642377899627	0.999980205328981	14.57	20.85	17.04	13.6	5.68	13.26	10.02	7.22
"75"	"3"	163652226	163652376	151	"*"	1.77707104506547	0.650458034811272	2.40188346729114	-0.0112555458219319	0.0226761376422971	0.999980205328981	0.97	0.99	3.41	0.91	3.79	6.63	5.57	5.15
"76"	"LVXM01048136.1"	56	206	151	"*"	1.91659993416054	0.875050142262284	2.51515063416582	-0.0119582466100568	0.0227153978245224	0.999980205328981	1.94	1.99	3.41	0	7.57	5.68	4.45	5.15
"77"	"5"	90642697	90642847	151	"*"	1.70705303700156	2.4070991734877	0.293719818562283	0.00972936925877154	0.0231787933836742	0.999980205328981	1.94	4.97	12.5	1.81	0	2.84	0	2.06
"78"	"LVXM01047372.1"	2812	2962	151	"*"	1.47144921748674	0	2.19362699960047	-0.00897338369858449	0.0232976339121855	0.999980205328981	0	2.98	0	0.91	0.95	7.58	6.68	3.09
"79"	"LVXM01049719.1"	1807	1957	151	"*"	3.23791294448759	3.65473242582367	2.64937986284378	0.0187318206363318	0.0234298630366932	0.999980205328981	8.74	11.92	12.5	17.23	6.63	4.74	4.45	9.28
"80"	"14"	79622079	79622229	151	"*"	0.98982370566221	0	1.80836138676325	-0.00679557685723034	0.023436162624232	0.999980205328981	0.97	0	0	0.91	5.68	0.95	2.23	5.15
"81"	"12"	122901157	122901307	151	"*"	3.63024279603087	3.99610146985905	3.13887754194059	0.0204679355174742	0.0239234537855687	0.999980205328981	16.51	11.92	18.18	17.23	8.52	7.58	7.8	11.34
"82"	"LVXM01047110.1"	431	581	151	"*"	3.37030889073528	2.82442339748837	3.76540366618124	-0.0189213396271732	0.0245243940250764	0.999980205328981	6.8	4.97	10.22	6.35	16.1	8.52	12.25	17.53
"83"	"4"	155791569	155791719	151	"*"	2.02125685083826	1.04315229102208	2.59884639876325	-0.0122764350415066	0.0247798849661635	0.999980205328981	1.94	1.99	3.41	0.91	4.73	5.68	5.57	8.25
"84"	"16"	11840707	11840857	151	"*"	0.500642969979204	1.37461139802613	0	0.00604999539626663	0.0249304071242143	0.999980205328981	1.94	2.98	4.54	0.91	0.95	0	0	0
"85"	"11"	13368776	13368926	151	"*"	2.41203958616956	2.93292058806612	1.58879336593263	0.0142925479550957	0.0250646498356456	0.999980205328981	7.77	8.94	5.68	8.16	1.89	4.74	3.34	2.06
"86"	"13"	8024706	8024856	151	"*"	0.503129347400908	1.3656061635065	0	0.00604656889143864	0.0250874233367937	0.999980205328981	0.97	2.98	4.54	1.81	0	0	0	1.03
"87"	"3"	10951204	10951354	151	"*"	2.1370270749959	2.70026313810124	1.20030962022303	0.0127449654563835	0.0253644054947547	0.999980205328981	5.83	4.97	7.95	7.25	1.89	0.95	2.23	4.12
"88"	"8"	79141808	79141958	151	"*"	1.21743342760126	1.97839014539359	0	0.007766952782621	0.0256340766370281	0.999980205328981	6.8	3.97	2.27	2.72	2.84	0	0	0
"89"	"17"	1595632	1595782	151	"*"	1.60302470831324	2.25921656695524	0.365442130250606	0.00986335074603453	0.0261855543962464	0.999980205328981	3.88	5.96	5.68	3.63	0.95	0	1.11	3.09
"90"	"LVXM01047291.1"	5626	5776	151	"*"	1.90209599075269	2.51429821398254	0.817147905099383	0.0111418645997991	0.0262674204018226	0.999980205328981	6.8	1.99	6.82	7.25	0	2.84	1.11	3.09
"91"	"8"	72898188	72898338	151	"*"	3.02797635073748	2.36090463883242	3.48238001948729	-0.0162118244715035	0.0267302385776302	0.999980205328981	1.94	7.94	3.41	7.25	6.63	18.94	7.8	11.34
"92"	"8"	42746319	42746469	151	"*"	1.59108441978079	2.25040918380244	0.341799791242315	0.00975884950992562	0.0267548822431738	0.999980205328981	3.88	1.99	6.82	6.35	0.95	0.95	1.11	2.06
"93"	"4"	82538525	82538675	151	"*"	1.38825745198858	0	2.09583850865324	-0.00877762323497089	0.0267912095319761	0.999980205328981	1.94	0.99	0	0.91	6.63	2.84	5.57	2.06
"94"	"LVXM01049486.1"	1578	1728	151	"*"	4.31812717583808	4.60398840836965	3.96126701254522	0.0218364483772949	0.0268347611396854	0.999980205328981	25.25	24.83	22.72	24.48	14.2	17.05	15.59	15.46
"95"	"14"	92552474	92552624	151	"*"	1.18266142157289	0	1.91876559577135	-0.00785583095724273	0.0269101823901799	0.999980205328981	0	0.99	1.14	0.91	3.79	2.84	3.34	5.15
"96"	"3"	15097251	15097401	151	"*"	3.09450486044032	3.52082959691852	2.48669945561012	0.0166326163391907	0.027208517748737	0.999980205328981	19.42	9.93	5.68	10.88	3.79	5.68	7.8	5.15
"97"	"3"	61233810	61233960	151	"*"	1.39935851556852	0.0303734590080171	2.08895868782844	-0.00878424722100472	0.0272649247117803	0.999980205328981	0	0	2.27	1.81	5.68	2.84	3.34	5.15
"98"	"2"	113741702	113741852	151	"*"	1.39119409324651	0	2.10301600663447	-0.00865306996568373	0.0273667795397695	0.999980205328981	0	1.99	0	1.81	1.89	6.63	5.57	3.09
"99"	"3"	48002486	48002636	151	"*"	0.013857369317065	0	1.01385736931706	-0.00509549622082074	0.0274237224777091	0.999980205328981	0	0	0	0	0.95	2.84	2.23	2.06
"100"	"8"	86130343	86130493	151	"*"	1.88684129815289	0.85794510659911	2.48130866254528	-0.0111102971252306	0.0276303247546061	0.999980205328981	1.94	0.99	3.41	0.91	6.63	2.84	6.68	6.19
"101"	"16"	46608481	46608631	151	"*"	1.19321082838027	1.9340753652883	0	0.0077814035068625	0.0277260209699218	0.999980205328981	2.91	3.97	5.68	2.72	0.95	0.95	1.11	0
"102"	"3"	15623588	15623738	151	"*"	1.8930585410269	2.52360321200342	0.746976389518882	0.0106618485192748	0.0278025366739327	0.999980205328981	2.91	11.92	4.54	3.63	1.89	3.79	0	1.03
"103"	"3"	30010456	30010606	151	"*"	1.19809289195975	1.93991608810402	0	0.0075877575849938	0.0279099164540816	0.999980205328981	4.86	5.96	0	4.53	0.95	0.95	1.11	0
"104"	"18"	13949098	13949248	151	"*"	1.40768850246927	2.11021657854572	0	0.00866798990515853	0.0280079396555977	0.999980205328981	6.8	2.98	5.68	1.81	0.95	1.89	1.11	0
"105"	"LVXM01046594.1"	1297	1447	151	"*"	3.57620446546408	3.93392649876218	3.09946327720963	0.0188605555394607	0.0281305424439084	0.999980205328981	17.48	16.88	11.36	15.41	9.47	7.58	10.02	7.22
"106"	"7"	9698132	9698282	151	"*"	1.40078733520773	2.1157015648917	0	0.00857813592458786	0.0281544588095793	0.999980205328981	3.88	5.96	5.68	1.81	2.84	0.95	0	0
"107"	"X"	148978939	148979089	151	"*"	1.70009657214808	0.556933800073888	2.32978806350227	-0.0103915059658638	0.0281708603832321	0.999980205328981	1.94	0.99	1.14	1.81	5.68	3.79	4.45	6.19
"108"	"16"	85530386	85530536	151	"*"	1.86779248465199	0.795388445261455	2.47610408265986	-0.0109171122034868	0.0281996180430772	0.999980205328981	2.91	1.99	1.14	0.91	2.84	5.68	4.45	9.28
"109"	"2"	86484401	86484551	151	"*"	1.38129137804722	0	2.08181444146968	-0.00858208319280036	0.0284157700205952	0.999980205328981	2.91	0.99	0	0	6.63	2.84	3.34	4.12
"110"	"2"	130071237	130071387	151	"*"	1.37852641032222	0	2.07466069531963	-0.00854891630322095	0.0288557458958561	0.999980205328981	0.97	2.98	0	0	6.63	3.79	3.34	3.09
"111"	"1"	93151132	93151282	151	"*"	3.79098913204643	4.12619483769967	3.35354706580493	0.0192253245017883	0.0290750376456618	0.999980205328981	17.48	17.88	18.18	16.32	8.52	5.68	12.25	14.43
"112"	"2"	39600453	39600603	151	"*"	1.88359686169802	0.793693625966507	2.49732379945775	-0.0106648135467533	0.0290819661345131	0.999980205328981	1.94	0	2.27	2.72	2.84	6.63	10.02	3.09
"113"	"LVXM01047131.1"	2406	2556	151	"*"	1.35855804523234	2.06405278572631	0	0.0085614184124015	0.0291025388385428	0.999980205328981	2.91	4.97	3.41	5.44	1.89	1.89	0	0
"114"	"LVXM01049490.1"	9752	9902	151	"*"	2.19850899407679	2.74595074714175	1.30554916237445	0.0125384090863695	0.0291356061162685	0.999980205328981	7.77	7.94	5.68	5.44	2.84	3.79	2.23	1.03
"115"	"6"	36557961	36558111	151	"*"	3.6369247049718	4.02143895982969	3.1111370906272	0.0176403673657182	0.0293629218029735	0.999980205328981	18.45	15.89	7.95	22.67	17.99	3.79	5.57	7.22
"116"	"7"	59546888	59547038	151	"*"	2.08463324858844	1.17099213730559	2.63962119430591	-0.0120319554379551	0.0293780646078455	0.999980205328981	1.94	2.98	2.27	1.81	8.52	5.68	5.57	5.15
"117"	"LVXM01049810.1"	101	251	151	"*"	2.93154971759417	2.27978984772978	3.37886081828389	-0.0156665104613487	0.0294179622928907	0.999980205328981	3.88	3.97	3.41	8.16	15.15	10.42	7.8	8.25
"118"	"3"	41479092	41479242	151	"*"	0.0140456482410706	0	1.01404564824107	-0.00494428224392683	0.0294398877876469	0.999980205328981	0	0	0	0	0.95	1.89	1.11	4.12
"119"	"9"	8293649	8293799	151	"*"	0.0139913021585547	0	1.01399130215855	-0.00494403395953094	0.0294442169571291	0.999980205328981	0	0	0	0	1.89	0.95	1.11	4.12
"120"	"X"	74501104	74501254	151	"*"	0.911533872454444	0	1.70732497965428	-0.00641857184626511	0.0295601406875552	0.999980205328981	0	1.99	0	0	3.79	2.84	3.34	3.09
"121"	"LVXM01048218.1"	107	257	151	"*"	3.53819627744824	3.0417792346993	3.90683604897724	-0.0180332237963486	0.0295707820956504	0.999980205328981	4.86	9.93	9.09	9.07	11.36	18	10.02	20.62
"122"	"LVXM01047985.1"	24904	25054	151	"*"	4.07283683115108	3.67052626460829	4.38707452464104	-0.0197690756080073	0.0299179753673991	0.999980205328981	17.48	16.88	10.22	6.35	18.94	19.89	21.16	23.71
"123"	"6"	138800917	138801067	151	"*"	1.43046186651645	0.0752535376901966	2.1167352435951	-0.00835319242621426	0.0301629566367871	0.999980205328981	1.94	0	2.27	0	5.68	2.84	7.8	1.03
"124"	"6"	58739946	58740096	151	"*"	0.897695726718943	1.69231344603198	0	0.00641482400492841	0.0301785328327232	0.999980205328981	2.91	2.98	3.41	3.63	0.95	0	0	1.03
"125"	"LVXM01048884.1"	2510	2660	151	"*"	2.08980410910237	1.19023364652754	2.63967402987221	-0.0118593834778278	0.0303357012001899	0.999980205328981	2.91	0.99	3.41	1.81	5.68	8.52	5.57	5.15
"126"	"6"	73514776	73514926	151	"*"	1.15438685572947	0	1.89450606836742	-0.00741149466356681	0.0306261497141224	0.999980205328981	1.94	0.99	0	0	6.63	2.84	3.34	2.06
"127"	"6"	61067970	61068120	151	"*"	1.15867904061279	1.90063239086518	0	0.0074221737496942	0.0309270615141338	0.999980205328981	1.94	5.96	3.41	3.63	0	1.89	0	1.03
"128"	"1"	107521504	107521654	151	"*"	1.2103620201512	1.94673379237898	0	0.00735578647273185	0.0312383962289976	0.999980205328981	1.94	0.99	7.95	4.53	0	0.95	1.11	1.03
"129"	"LVXM01047872.1"	630	780	151	"*"	0.898513883585906	1.69322279404486	0	0.00630520604284029	0.0313009838481263	0.999980205328981	3.88	4.97	2.27	1.81	0	0.95	0	1.03
"130"	"10"	81989383	81989533	151	"*"	1.13708926824306	0	1.88641711283488	-0.00729535824152887	0.0313924883714379	0.999980205328981	0	0.99	0	1.81	4.73	5.68	3.34	1.03
"131"	"5"	62468990	62469140	151	"*"	0.0431812080196169	0	1.04318120801962	-0.00477296331631414	0.0315100904068392	0.999980205328981	0	0	0	0	2.84	0	3.34	2.06
"132"	"10"	2547924	2548074	151	"*"	1.68393873289787	0.526977404883168	2.31764324987356	-0.00979170118283124	0.0316162235967428	0.999980205328981	0.97	2.98	0	1.81	5.68	6.63	5.57	2.06
"133"	"15"	28653150	28653300	151	"*"	1.83402171532842	2.42458568874914	0.817085611766612	0.0105447460294748	0.0318557574887648	0.999980205328981	4.86	5.96	3.41	7.25	0.95	1.89	1.11	3.09
"134"	"14"	101362007	101362157	151	"*"	0.87848967828406	0	1.68866922080018	-0.00616477473909512	0.0320194171801116	0.999980205328981	0	0	0	1.81	4.73	3.79	3.34	1.03
"135"	"9"	4743109	4743259	151	"*"	1.53513116280416	2.1990179398074	0.268588671785071	0.00895949503594133	0.0320635996589074	0.999980205328981	2.91	2.98	3.41	9.07	2.84	0.95	0	1.03
"136"	"16"	55518833	55518983	151	"*"	2.07979822021498	1.16616601544275	2.63478294776961	-0.0114470952592997	0.0322537596837554	0.999980205328981	1.94	0	3.41	3.63	7.57	7.58	5.57	4.12
