^#chr	start	end	Ensembl ID	Gene Name	PeakID	signalValue	Contact	adaptedActivity	scaledContact	intergenicScore	TSS-dist	ABC-Score
1	191338978	191339297	MGP_C57BL6NJ_G0017258	Smyd3	1:191338978-191339297	4.2365298	14.104758	0.2676074	38.028522	0.2676074	396433.57	0.23390184
1	191892345	191893496	MGP_C57BL6NJ_G0017258	Smyd3	1:191892345-191893496	8.4730597	37.089944	0.67970844	100	0.67970844	157072.14	0.60314008
1	192609680	192609991	MGP_C57BL6NJ_G0017266	Coq8a	1:192609680-192609991	2.95158	17.923358	0.066362454	30.401523	0.066362454	19995.353	0.026553494
1	192617467	192618179	MGP_C57BL6NJ_G0017266	Coq8a	1:192617467-192618179	3.73809	39.473378	0.13677469	66.954572	0.13677469	12103.353	0.1085788
1	192623632	192624492	MGP_C57BL6NJ_G0017266	Coq8a	1:192623632-192624492	3.59326	37.540739	0.12016976	63.676439	0.12016976	8158.3529	0.091770657
1	192632831	192634109	MGP_C57BL6NJ_G0017266	Coq8a	1:192632831-192634109	9.3924398	58.955463	0.38902909	100	0.38902909	3914.3529	0.45184423
1	192648802	192649719	MGP_C57BL6NJ_G0017266	Coq8a	1:192648802-192649719	4.5631299	22.659092	0.11584482	38.434254	0.11584482	18816.647	0.051488477
1	192653823	192654095	MGP_C57BL6NJ_G0017266	Coq8a	1:192653823-192654095	4.2550101	19.198883	0.099875629	32.565063	0.099875629	23837.647	0.040693693
1	192682913	192683682	MGP_C57BL6NJ_G0017266	Coq8a	1:192682913-192683682	15.09605	8.1586237	0.1295374	13.838622	0.1295374	52927.647	0.029003876
1	182651128	182652156	MGP_C57BL6NJ_G0017152	Adamts4	1:182651128-182652156	15.13979	7.9353597	0.13645932	12.08512	0.13645932	266669.5	0.026494031
1	182886479	182887391	MGP_C57BL6NJ_G0017152	Adamts4	1:182886479-182887391	11.52591	12.360431	0.07359519	18.824262	0.07359519	31434.5	0.022256725
1	182912704	182913572	MGP_C57BL6NJ_G0017152	Adamts4	1:182912704-182913572	12.30244	34.978214	0.2862401	53.269911	0.2862401	5253.5	0.24496628
1	182917965	182918336	MGP_C57BL6NJ_G0017152	Adamts4	1:182917965-182918336	1.88641	65.662235	0.081046545	100	0.081046545	668.5	0.13020521
1	182919294	182919863	MGP_C57BL6NJ_G0017152	Adamts4	1:182919294-182919863	2.9056101	65.662235	0.12483482	100	0.12483482	658.5	0.20055321
1	182927173	182927441	MGP_C57BL6NJ_G0017152	Adamts4	1:182927173-182927441	2.5699999	31.110016	0.056288973	47.378856	0.056288973	8348.5	0.04284516
1	182936418	182937076	MGP_C57BL6NJ_G0017152	Adamts4	1:182936418-182937076	6.7470598	17.924797	0.07566026	27.298487	0.07566026	17593.5	0.033181826
1	182943266	182944346	MGP_C57BL6NJ_G0017152	Adamts4	1:182943266-182944346	7.4186101	14.581208	0.060014843	22.206384	0.060014843	24441.5	0.021410676
1	176381233	176381435	MGP_C57BL6NJ_G0017092	Sft2d2	1:176381233-176381435	3.4519899	35.725933	0.26200347	49.261822	0.26200347	8972.6667	0.096888504
1	176387776	176388070	MGP_C57BL6NJ_G0017092	Sft2d2	1:176387776-176388070	2.8844299	72.522556	0.3139368	100	0.3139368	2337.6667	0.23566602
1	176389808	176390870	MGP_C57BL6NJ_G0017092	Sft2d2	1:176389808-176390870	6.17659	72.522556	0.75566641	100	0.75566641	0	0.56726351
1	176490540	176491679	MGP_C57BL6NJ_G0017092	Sft2d2	1:176490540-176491679	8.6299696	11.465858	0.26319318	15.810058	0.26319318	100133.33	0.031236533
1	166530417	166531576	MGP_C57BL6NJ_G0017022	Tor1aip2	1:166530417-166531576	8.9210901	54.482383	0.38844858	100	0.38844858	4666.7778	0.64830395
1	166535281	166535553	MGP_C57BL6NJ_G0017022	Tor1aip2	1:166535281-166535553	3.69084	53.600539	0.16108995	98.381414	0.16108995	4544.1111	0.27197712
1	178693937	178694238	MGP_C57BL6NJ_G0017115	Aldh9a1	1:178693937-178694238	20.219879	27.827028	1.4161957	65.866982	1.4161957	13696.25	0.32081855
1	178703263	178704213	MGP_C57BL6NJ_G0017115	Aldh9a1	1:178703263-178704213	9.8453703	42.24731	0.89226766	100	0.89226766	4141.5	0.30453083
1	178722324	178722907	MGP_C57BL6NJ_G0017115	Aldh9a1	1:178722324-178722907	5.3154802	27.89829	0.43481895	66.035659	0.43481895	14390.75	0.14494249
1	178726612	178726793	MGP_C57BL6NJ_G0017115	Aldh9a1	1:178726612-178726793	4.0123301	30.791663	0.36768464	72.884316	0.36768464	18678.75	0.11906692
1	127555834	127556242	MGP_C57BL6NJ_G0016807	Dbi	1:127555834-127556242	4.0796199	11.826152	0.1501568	25.084961	0.1501568	30652.333	0.022415611
1	127565297	127565459	MGP_C57BL6NJ_G0016807	Dbi	1:127565297-127565459	3.6088901	35.203083	0.25307799	74.670778	0.25307799	21435.333	0.11245978
1	127581831	127582239	MGP_C57BL6NJ_G0016807	Dbi	1:127581831-127582239	5.8476501	40.16608	0.41754931	85.198006	0.41754931	4655.3333	0.21170414
1	127586269	127587723	MGP_C57BL6NJ_G0016807	Dbi	1:127586269-127587723	9.3983402	47.14439	0.70486418	100	0.70486418	10.333333	0.4194668
1	127602152	127602492	MGP_C57BL6NJ_G0016807	Dbi	1:127602152-127602492	3.6088901	26.304771	0.20767118	55.796185	0.20767118	15258.667	0.068956131
1	127608652	127608819	MGP_C57BL6NJ_G0016807	Dbi	1:127608652-127608819	3.9227099	16.562164	0.16716297	35.130721	0.16716297	21758.667	0.034947756
1	41266965	41268044	MGP_C57BL6NJ_G0016364	Tmem182	1:41266965-41268044	8.7432299	11.082361	0.34704035	24.82156	0.34704035	15859	0.031684938
1	41277676	41277878	MGP_C57BL6NJ_G0016364	Tmem182	1:41277676-41277878	4.0796199	44.648124	0.73440682	100	0.73440682	6025	0.27013479
1	41283467	41284365	MGP_C57BL6NJ_G0016364	Tmem182	1:41283467-41284365	7.2030201	44.648124	1.4849394	100	1.4849394	0	0.54620106
1	41293907	41294561	MGP_C57BL6NJ_G0016364	Tmem182	1:41293907-41294561	5.4917998	21.824959	0.65186125	48.88214	0.65186125	10005	0.11720582
1	61999723	62000924	MGP_C57BL6NJ_G0016460	Nop58	1:61999723-62000924	9.3716097	16.819719	0.17312808	45.144734	0.17312808	22073.867	0.1235386
1	62016064	62016787	MGP_C57BL6NJ_G0016460	Nop58	1:62016064-62016787	12.0082	37.257322	0.38863808	100	0.38863808	6491.8	0.6682153
1	144098941	144099726	MGP_C57BL6NJ_G0016926	Lmod1	1:144098941-144099726	14.33211	27.101104	0.56974371	100	0.56974371	9945	0.63767763
1	144137557	144138137	MGP_C57BL6NJ_G0016926	Lmod1	1:144137557-144138137	4.7072501	18.842357	0.15254023	69.52616	0.15254023	27887	0.11870098
1	144158300	144159315	MGP_C57BL6NJ_G0016926	Lmod1	1:144158300-144159315	5.9292898	8.7987306	0.076181169	32.466317	0.076181169	48630	0.027682309
1	144203062	144203655	MGP_C57BL6NJ_G0016926	Lmod1	1:144203062-144203655	8.4886703	6.6924899	0.076569901	24.694528	0.076569901	93392	0.021163157
1	60231542	60232845	MGP_C57BL6NJ_G0016437	Aox3	1:60231542-60232845	8.3793602	12.795344	0.17011292	14.382874	0.17011292	97517.8	0.029361422
1	60306002	60306530	MGP_C57BL6NJ_G0016437	Aox3	1:60306002-60306530	7.3287001	23.522347	0.38283243	26.440787	0.38283243	23832.8	0.12168342
1	60318741	60319075	MGP_C57BL6NJ_G0016437	Aox3	1:60318741-60319075	5.4917998	88.962356	0.57921939	100	0.57921939	11374.6	0.76154434
1	175105155	175106180	MGP_C57BL6NJ_G0017082	Selp	1:175105155-175106180	10.94859	5.40271	0.099759938	18.038664	0.099759938	149947	0.021966354
1	175253488	175254237	MGP_C57BL6NJ_G0017082	Selp	1:175253488-175254237	4.8727999	24.357531	0.24840267	81.325356	0.24840267	10602.8	0.24207786
1	175256025	175256186	MGP_C57BL6NJ_G0017082	Selp	1:175256025-175256186	2.5676401	29.950722	0.14166358	100	0.14166358	9551	0.18551245
1	175256769	175257113	MGP_C57BL6NJ_G0017082	Selp	1:175256769-175257113	5.0537	29.950722	0.27882617	100	0.27882617	8958.2	0.36513072
1	175454486	175454861	MGP_C57BL6NJ_G0017082	Selp	1:175454486-175454861	20.12874	4.757114	0.19988544	15.883136	0.19988544	198360	0.044713201
1	175491807	175492095	MGP_C57BL6NJ_G0017082	Selp	1:175491807-175492095	4.8641601	7.2294437	0.069560596	24.137795	0.069560596	235681	0.022587636
1	175957663	175958364	MGP_C57BL6NJ_G0017096	Mpc2	1:175957663-175958364	7.83462	5.1286552	0.091038241	14.912589	0.091038241	726012.6	0.020588213
1	176233366	176233856	MGP_C57BL6NJ_G0017096	Mpc2	1:176233366-176233856	7.2177901	5.2523628	0.10079542	15.272294	0.10079542	450520.6	0.027258656
1	176679801	176681206	MGP_C57BL6NJ_G0017096	Mpc2	1:176679801-176681206	9.1599598	34.391447	0.47275237	100	0.47275237	3539.6	0.7197188
1	174601460	174601622	MGP_C57BL6NJ_G0017080	Sele	1:174601460-174601622	5.3348899	4.4825895	0.12783407	10.08146	0.12783407	561839	0.036785776
1	174881779	174882513	MGP_C57BL6NJ_G0017080	Sele	1:174881779-174882513	19.643749	2.7858891	0.15413533	6.2655367	0.15413533	280948	0.027565785
1	175105155	175106180	MGP_C57BL6NJ_G0017080	Sele	1:175105155-175106180	10.94859	9.2624748	0.17102971	20.831545	0.17102971	57281	0.10169578
1	175159226	175159425	MGP_C57BL6NJ_G0017080	Sele	1:175159226-175159425	2.51054	44.463695	0.23394408	100	0.23394408	4036	0.6677624
1	69365716	69366383	MGP_C57BL6NJ_G0016507	Acadl	1:69365716-69366383	9.2575998	6.9541848	0.24551462	13.883555	0.24551462	342505	0.032017861
1	69710767	69711573	MGP_C57BL6NJ_G0016507	Acadl	1:69710767-69711573	8.51087	50.089367	0.9569741	100	0.9569741	2176.5	0.86205761
1	69751837	69752727	MGP_C57BL6NJ_G0016507	Acadl	1:69751837-69752727	6.43325	6.8642981	0.16771199	13.704102	0.16771199	42950	0.021480165
1	147587424	147588248	MGP_C57BL6NJ_G0016951	Nek7	1:147587424-147588248	8.3334904	14.871176	0.52543484	61.72587	0.52543484	43731	0.099669555
1	147613128	147613639	MGP_C57BL6NJ_G0016951	Nek7	1:147613128-147613639	3.7658	15.433101	0.23412429	64.058255	0.23412429	30200	0.045662635
1	147618412	147618647	MGP_C57BL6NJ_G0016951	Nek7	1:147618412-147618647	5.6487098	13.173326	0.34466769	54.678594	0.34466769	30338	0.061278543
1	147660578	147660981	MGP_C57BL6NJ_G0016951	Nek7	1:147660578-147660981	5.3523302	22.963551	0.6065415	95.314934	0.6065415	30254	0.22677016
1	147661857	147662935	MGP_C57BL6NJ_G0016951	Nek7	1:147661857-147662935	8.9476204	22.963551	1.0139702	95.314934	1.0139702	30167	0.37909718
1	147665356	147665526	MGP_C57BL6NJ_G0016951	Nek7	1:147665356-147665526	2.4823699	24.092291	0.25558992	100	0.25558992	33378	0.092253706
1	175253488	175254237	MGP_C57BL6NJ_G0002887	Gm16587	1:175253488-175254237	4.8727999	25.43869	0.25942853	63.784055	0.25942853	10565	0.19678976
1	175256025	175256186	MGP_C57BL6NJ_G0002887	Gm16587	1:175256025-175256186	2.5676401	39.882522	0.18863989	100	0.18863989	8616	0.22433972
1	175256769	175257113	MGP_C57BL6NJ_G0002887	Gm16587	1:175256769-175257113	5.0537	39.882522	0.37128624	100	0.37128624	7689	0.44155162
1	175491807	175492095	MGP_C57BL6NJ_G0002887	Gm16587	1:175491807-175492095	4.8641601	10.604935	0.10203906	26.590433	0.10203906	227006	0.032267438
1	96540694	96541572	MGP_C57BL6NJ_G0016706	Per2	1:96540694-96541572	8.1958799	31.144122	0.46961482	80.223209	0.46961482	17541.5	0.2184303
1	96550508	96551219	MGP_C57BL6NJ_G0016706	Per2	1:96550508-96551219	7.38305	38.821835	0.58755333	100	0.58755333	7894.5	0.33464139
1	96562990	96564309	MGP_C57BL6NJ_G0016706	Per2	1:96562990-96564309	8.3698101	37.533997	0.56589526	96.682697	0.56589526	4303	0.30731925
1	96582500	96583482	MGP_C57BL6NJ_G0016706	Per2	1:96582500-96583482	7.5114698	11.643872	0.13027701	29.993099	0.13027701	23387.5	0.022020255
1	33999873	34000307	MGP_C57BL6NJ_G0015483	Gm26788	1:33999873-34000307	5.0359302	11.218374	0.15532311	37.980717	0.15532311	38557.5	0.041718731
1	34010315	34010621	MGP_C57BL6NJ_G0015483	Gm26788	1:34010315-34010621	7.2177901	26.901827	0.37521653	91.078321	0.37521653	28243.5	0.24167339
1	34025251	34025480	MGP_C57BL6NJ_G0015483	Gm26788	1:34025251-34025480	2.89254	29.537025	0.13241637	100	0.13241637	13384.5	0.093642612
1	34027873	34028871	MGP_C57BL6NJ_G0015483	Gm26788	1:34027873-34028871	5.21732	29.537025	0.23884149	100	0.23884149	9993.5	0.16890466
1	34050448	34050747	MGP_C57BL6NJ_G0015483	Gm26788	1:34050448-34050747	2.8243501	24.727152	0.1658095	83.715782	0.1658095	11584.5	0.09816318
1	34099015	34099489	MGP_C57BL6NJ_G0015483	Gm26788	1:34099015-34099489	5.92554	8.3545706	0.10914586	28.285078	0.10914586	60151.5	0.02183215
1	34131460	34131682	MGP_C57BL6NJ_G0015483	Gm26788	1:34131460-34131682	4.0796199	12.187504	0.096457782	41.261784	0.096457782	92596.5	0.028146029
1	34154562	34154999	MGP_C57BL6NJ_G0015483	Gm26788	1:34154562-34154999	7.4314699	13.286529	0.21905494	44.982625	0.21905494	115698.5	0.06968346
1	159830312	159830644	MGP_C57BL6NJ_G0016976	Ptgs2	1:159830312-159830644	5.02107	5.3106043	0.14543424	12.022483	0.14543424	248985.5	0.02044746
1	159836296	159836670	MGP_C57BL6NJ_G0016976	Ptgs2	1:159836296-159836670	7.53161	4.4739406	0.22385766	10.128391	0.22385766	242959.5	0.026514957
1	159873559	159874295	MGP_C57BL6NJ_G0016976	Ptgs2	1:159873559-159874295	7.6426001	6.4611819	0.22539937	14.627234	0.22539937	205334.5	0.038556129
1	159895271	159895457	MGP_C57BL6NJ_G0016976	Ptgs2	1:159895271-159895457	3.4519899	8.2230909	0.12688081	18.615955	0.12688081	184172.5	0.027622297
1	159976429	159976735	MGP_C57BL6NJ_G0016976	Ptgs2	1:159976429-159976735	3.9227099	7.4411876	0.15536131	16.845833	0.15536131	102894.5	0.030606515
1	160079021	160079564	MGP_C57BL6NJ_G0016976	Ptgs2	1:160079021-160079564	4.5503502	44.172275	0.59522952	100	0.59522952	108	0.69608614
1	160152002	160152173	MGP_C57BL6NJ_G0016976	Ptgs2	1:160152002-160152173	4.3934398	6.5252888	0.12219275	14.772363	0.12219275	72373.5	0.021109305
1	98159089	98159656	MGP_C57BL6NJ_G0016729	Kif1a	1:98159089-98159656	9.2515697	4.198543	0.043672165	33.958562	0.043672165	125271.64	0.02474685
1	98179256	98179906	MGP_C57BL6NJ_G0016729	Kif1a	1:98179256-98179906	5.2827902	10.471461	0.055792942	84.695036	0.055792942	105021.64	0.078795229
1	98210435	98210723	MGP_C57BL6NJ_G0016729	Kif1a	1:98210435-98210723	3.9227099	9.2168041	0.065939035	74.54715	0.065939035	74204.636	0.0947223
1	98232096	98232385	MGP_C57BL6NJ_G0016729	Kif1a	1:98232096-98232385	2.6674399	10.984035	0.051033517	88.840825	0.051033517	54470.818	0.14571642
1	98319900	98320260	MGP_C57BL6NJ_G0016729	Kif1a	1:98319900-98320260	3.7658	12.363724	0.080581654	100	0.080581654	34973.364	0.14181197
1	98350723	98350951	MGP_C57BL6NJ_G0016729	Kif1a	1:98350723-98350951	3.6088901	7.1947599	0.038755391	58.192497	0.038755391	65796.364	0.035518875
1	190710576	190711888	MGP_C57BL6NJ_G0017256	Efcab2	1:190710576-190711888	9.7205296	48.117824	1.2093379	100	1.2093379	15319.333	0.58235263
1	190757341	190757739	MGP_C57BL6NJ_G0017256	Efcab2	1:190757341-190757739	5.8056102	31.17176	0.66503927	64.782149	0.66503927	30861.667	0.31470113
1	190776084	190776801	MGP_C57BL6NJ_G0017256	Efcab2	1:190776084-190776801	6.7470598	11.101598	0.32515897	23.071696	0.32515897	49401	0.0370718
1	37683043	37683573	MGP_C57BL6NJ_G0016330	Mgat4a	1:37683043-37683573	3.28531	12.003178	0.089901656	36.357918	0.089901656	46588.167	0.020065973
1	37713634	37714141	MGP_C57BL6NJ_G0016330	Mgat4a	1:37713634-37714141	4.6121802	32.607455	0.25415849	98.768778	0.25415849	21477.167	0.22380321
1	37716260	37716705	MGP_C57BL6NJ_G0016330	Mgat4a	1:37716260-37716705	3.55741	33.01393	0.20338019	100	0.20338019	21508.167	0.15386951
1	37723401	37724118	MGP_C57BL6NJ_G0016330	Mgat4a	1:37723401-37724118	6.1298199	19.636061	0.25717328	59.478108	0.25717328	21372.167	0.10035185
1	37729290	37730309	MGP_C57BL6NJ_G0016330	Mgat4a	1:37729290-37730309	5.8854899	13.281796	0.18166836	40.230883	0.18166836	21221.167	0.044700115
1	37754500	37755577	MGP_C57BL6NJ_G0016330	Mgat4a	1:37754500-37755577	9.0337801	27.983826	0.49271362	84.76369	0.49271362	24421.5	0.34713632
1	86872337	86872957	MGP_C57BL6NJ_G0016609	Mff	1:86872337-86872957	18.618879	51.994464	0.74427895	100	0.74427895	6066.6471	0.8419136
1	86936492	86936883	MGP_C57BL6NJ_G0016609	Mff	1:86936492-86936883	10.18781	6.2965901	0.14580842	12.110117	0.14580842	57682	0.021414638
1	165980900	165981485	MGP_C57BL6NJ_G0005121	Gm5532	1:165980900-165981485	4.2867398	65.665073	0.73376696	100	0.73376696	0	0.4850339
1	165981680	165981941	MGP_C57BL6NJ_G0005121	Gm5532	1:165981680-165981941	4.0300102	65.665073	0.68982221	100	0.68982221	707	0.45598559
1	81049710	81050058	MGP_C57BL6NJ_G0016586	Epha4	1:81049710-81050058	4.7072501	4.3714039	0.13600658	12.333172	0.13600658	141936.71	0.021302959
1	81055766	81056130	MGP_C57BL6NJ_G0016586	Epha4	1:81055766-81056130	4.20825	5.159763	0.11706138	14.557393	0.11706138	135864.71	0.031905048
1	81057175	81057517	MGP_C57BL6NJ_G0016586	Epha4	1:81057175-81057517	4.5503502	5.159763	0.12657762	14.557393	0.12657762	134477.71	0.034498696
1	81156465	81157810	MGP_C57BL6NJ_G0016586	Epha4	1:81156465-81157810	6.0861101	9.9364358	0.27757375	28.033962	0.27757375	60366.143	0.057788064
1	81211579	81211845	MGP_C57BL6NJ_G0016586	Epha4	1:81211579-81211845	2.7992401	35.444279	0.23927772	100	0.23927772	21923.857	0.19862374
1	81212287	81214521	MGP_C57BL6NJ_G0016586	Epha4	1:81212287-81214521	6.35993	35.444279	0.54364381	100	0.54364381	20969.286	0.45127715
1	81235660	81235876	MGP_C57BL6NJ_G0016586	Epha4	1:81235660-81235876	3.13817	9.5551301	0.1405128	26.958173	0.1405128	43666.286	0.030423221
1	82564950	82565380	MGP_C57BL6NJ_G0016586	Epha4	1:82564950-82565380	6.27634	4.117119	0.22144862	11.615751	0.22144862	1372956.3	0.021174149
1	143873841	143874267	MGP_C57BL6NJ_G0002856	Gm26642	1:143873841-143874267	2.8243501	10.926477	0.035654252	32.876851	0.035654252	153582	0.022462286
1	144038366	144038607	MGP_C57BL6NJ_G0002856	Gm26642	1:144038366-144038607	3.3608301	33.234562	0.14472008	100	0.14472008	10518	0.27732002
1	144038911	144039208	MGP_C57BL6NJ_G0002856	Gm26642	1:144038911-144039208	3.98684	33.234562	0.17167658	100	0.17167658	11063	0.32897544
1	144066751	144067915	MGP_C57BL6NJ_G0002856	Gm26642	1:144066751-144067915	6.7234702	10.224386	0.075694563	30.764317	0.075694563	38903	0.044623577
1	144098941	144099726	MGP_C57BL6NJ_G0002856	Gm26642	1:144098941-144099726	14.33211	4.9461863	0.10398316	14.882658	0.10398316	71093	0.029654865
1	144203062	144203655	MGP_C57BL6NJ_G0002856	Gm26642	1:144203062-144203655	8.4886703	5.9999506	0.068646444	18.053347	0.068646444	175214	0.023748063
1	182707166	182708531	MGP_C57BL6NJ_G0017145	Mpz	1:182707166-182708531	11.42929	14.730558	0.16854394	24.553868	0.16854394	108096.75	0.052846719
1	182716918	182717754	MGP_C57BL6NJ_G0017145	Mpz	1:182716918-182717754	11.22342	9.8316455	0.11517754	16.388037	0.11517754	98873.75	0.023872577
1	182810372	182811256	MGP_C57BL6NJ_G0017145	Mpz	1:182810372-182811256	11.14386	59.992821	0.49341413	100	0.49341413	5444.75	0.62333548
1	182831290	182832095	MGP_C57BL6NJ_G0017145	Mpz	1:182831290-182832095	7.3316798	16.776129	0.12394828	27.963561	0.12394828	14663.25	0.044664961
1	169576995	169577186	MGP_C57BL6NJ_G0017039	Pappa2	1:169576995-169577186	2.6674399	13.850187	0.14419385	100	0.14419385	70506.167	0.19427434
1	169578794	169579480	MGP_C57BL6NJ_G0017039	Pappa2	1:169578794-169579480	5.1779799	13.850187	0.27990615	100	0.27990615	70258.667	0.37712138
1	169645773	169646413	MGP_C57BL6NJ_G0017039	Pappa2	1:169645773-169646413	3.6088901	6.4541636	0.12336413	46.599831	0.12336413	70281.667	0.034277098
1	169649977	169650196	MGP_C57BL6NJ_G0017039	Pappa2	1:169649977-169650196	2.6674399	9.0529598	0.095007499	65.363451	0.095007499	70492.167	0.035230687
1	169766658	169766890	MGP_C57BL6NJ_G0017039	Pappa2	1:169766658-169766890	4.5503502	4.2364517	0.10267328	30.587687	0.10267328	138816.17	0.022309941
1	169772357	169772852	MGP_C57BL6NJ_G0017039	Pappa2	1:169772357-169772852	8.2391996	6.7619578	0.2572883	48.822143	0.2572883	144515.17	0.068110649
1	169906204	169906675	MGP_C57BL6NJ_G0017039	Pappa2	1:169906204-169906675	7.68852	4.1630033	0.11229594	30.057381	0.11229594	278362.17	0.020357801
1	169918729	169919056	MGP_C57BL6NJ_G0017039	Pappa2	1:169918729-169919056	6.5901599	5.9811174	0.13650517	43.184382	0.13650517	290887.17	0.042886898
1	169929731	169930181	MGP_C57BL6NJ_G0017039	Pappa2	1:169929731-169930181	5.4917998	7.8792559	0.15122565	56.889168	0.15122565	301889.17	0.058056273
1	94975334	94975681	MGP_C57BL6NJ_G0016688	Asb18	1:94975334-94975681	3.4519899	8.50862	0.12439554	18.009226	0.12439554	50008.75	0.022229418
1	95009271	95009478	MGP_C57BL6NJ_G0016688	Asb18	1:95009271-95009478	2.7929101	20.295675	0.18834619	42.957542	0.18834619	16211.75	0.080283164
