Ensembl ID	Gene Name	chr	TSS	#Enhancer	Avg_EnhancerActivity	Avg_EnhancerContact	Avg_EnhancerDistance	Failure
MGP_CASTEiJ_G0016077	Olfml2b	1	174136060,174136344	5	5.80793	31.2985	9756.8	-
MGP_CASTEiJ_G0015513	Cyp27a1	1	74363361,74388971,74390429	6	6.48044	27.8816	35668.4	-
MGP_CASTEiJ_G0015896	Nek7	1	140441056,140499566	8	5.70134	21.5243	30547.9	-
MGP_CASTEiJ_G0015282	Cox5b	1	34859715,34859841,34859859,34859873,34859875,34859919	3	8.13355	51.0735	8446.33	-
MGP_CASTEiJ_G0015870	Timm17a	1	136967538,136971253	3	7.98434	25.5157	30789.7	-
MGP_CASTEiJ_G0016061	Rxrg	1	170975011	3	5.30675	28.1323	22176.3	-
MGP_CASTEiJ_G0015325	Tmem182	1	39181402	6	6.01685	26.9155	20014.3	-
MGP_CASTEiJ_G0015720	Bcl2	1	107322418,107321324	5	3.93432	50.572	8435.9	-
MGP_CASTEiJ_G0015970	Soat1	1	159356378,159347100,159311003,159311449,159356287,159356343,159356244,159356311	4	6.8919	20.0653	38165.8	-
MGP_CASTEiJ_G0015272	Arid5a	1	34456969,34456990,34456990,34456990,34456990,34456990,34456990,34456990,34456990,34456990,34456994,34457005,34457015,34465469,34466496	5	5.85389	37.1987	238040	-
MGP_CASTEiJ_G0004867	Gm5532	1	158398792,158398824	4	3.8844	32.2552	10056.5	-
MGP_CASTEiJ_G0015892	Zfp281	1	138372127,138372127	1	12.0737	47.606	0	-
MGP_CASTEiJ_G0016058	Aldh9a1	1	170713635,170713880,170713956,170728956	6	6.58098	32.396	27485.8	-
MGP_CASTEiJ_G0016179	Fh1	1	179586494,179565159,179567523,179570592,179586432	1	15.7132	46.0574	10879.2	-
MGP_CASTEiJ_G0015442	Adam23	1	62603971,62603975,62603990,62604015,62604292,62604292,62630411,62656776,62710664,62736857,62762221,62769788	12	6.15215	3.71475	539914	-
MGP_CASTEiJ_G0015212	Jph1	1	14452009,14542864	5	10.9338	13.8475	89327.5	-
MGP_CASTEiJ_G0015965	Tor1aip2	1	158929404,158929773,158930134,158934909,158934909,158957431	3	8.94933	35.0458	28117.1	-
MGP_CASTEiJ_G0015291	Mgat4a	1	35750538,35755328,35755335,35750710,35706238,35706200,35708943,35750547	8	4.7096	23.5464	25216.3	-
MGP_CASTEiJ_G0002714	Gm26574	1	194710882	8	3.57728	24.7503	21391.1	-
MGP_CASTEiJ_G0016200	Smyd3	1	183757076,183484914,183611015,183203167,183644531,183757083,183757047	4	8.56183	9.96518	233967	-
MGP_CASTEiJ_G0015916	Rgs18	1	147137009	12	9.55211	4.25534	253326	-
MGP_CASTEiJ_G0015512	Ttll4	1	74310941,74310946,74311013,74311013,74329118,74335293,74335922,74339390,74340047,74345171,74345692	4	7.70103	33.5014	22577.3	-
MGP_CASTEiJ_G0015753	Dbi	1	120950250,120950189,120949311,120949343,120950109,120950219,120950186	5	5.52271	31.6476	11709.8	-
MGP_CASTEiJ_G0003385	E030013I19Rik	2	9565380,9565751	6	11.1074	14.847	120330	-
MGP_CASTEiJ_G0026091	Snai1	2	171927783	5	5.15689	37.4891	32543.8	-
MGP_CASTEiJ_G0024811	Ak1	2	30664354,30668029,30668030,30670982,30672096,30672113	9	3.56151	45.4256	10159.4	-
MGP_CASTEiJ_G0024546	Itga8	2	9566354,9566324,9387889,9566205,9446202,9502446,9566354,9566020	8	13.071	9.24347	182293	-
MGP_CASTEiJ_G0025837	Sox12	2	155700350,155700333	6	5.03862	57.0095	6804.75	-
MGP_CASTEiJ_G0014760	4631405J19Rik	2	94053310,94053310,94054701,94054702,94055793	8	4.15435	31.2098	8111.88	-
MGP_CASTEiJ_G0024803	Slc25a25	2	30486468,30466167,30486491,30465800,30459060,30486421,30451626,30455505,30452885,30466153,30457035,30466152,30466217	8	5.22859	33.2829	15546.2	-
MGP_CASTEiJ_G0024777	Usp20	2	28913922,28913963,28914018,28914047,28914081,28914113,28927261,28927362,28927648,28927654,28930945,28934943,28953475	6	6.17419	31.1371	19870.6	-
MGP_CASTEiJ_G0025937	Nfs1	2	159789918,159785657,159789885,159789912	4	10.3713	20.6088	28423.2	-
MGP_CASTEiJ_G0024928	Tnfaip6	2	50896597	2	6.00077	35.266	17804	-
MGP_CASTEiJ_G0025065	Ccdc141	2	77129277,77131421,76968737,76971518,76980212,76994357,76995005,77129278,77129252,77129242,77129218	8	4.44077	28.4068	77862.4	-
MGP_CASTEiJ_G0025386	Pdhx	2	104242026,104241848,104241975	1	14.2067	60.2302	0	-
MGP_CASTEiJ_G0024990	Nostrin	2	68520449,68571213	7	10.4329	11.993	102128	-
MGP_CASTEiJ_G0024810	St6galnac6	2	30642456,30642473,30649578,30649611,30649625,30650656,30650670,30651049,30651302,30651598,30651628	6	3.82965	69.785	6799.41	-
MGP_CASTEiJ_G0024950	Pkp4	2	58081078,58081078,58082221,58082221,58082249,58082261,58082284,58083168,58083168,58132765,58163411,58201827,58202973,58261014,58282725	15	4.32127	12.3561	231445	-
MGP_CASTEiJ_G0025998	Jph2	2	167459232,167459188	6	4.01007	57.1834	7938.67	-
MGP_CASTEiJ_G0025926	Uqcc1	2	159562637,159562637,159562620,159562613,159562887,159562595,159479924,159562621,159562887,159562609,159562840,159562620,159562627,159562633,159562637,159543687,159562853,159562623,159562627	5	9.62787	19.1429	143027	-
MGP_CASTEiJ_G0024533	Atp5c1	2	7307369,7307431,7307386,7306800,7307118,7306997	5	6.44766	25.8706	24288.2	-
MGP_CASTEiJ_G0025745	Ism1	2	142518446,142518446	6	10.1021	15.2333	185120	-
MGP_CASTEiJ_G0025678	Idh3b	2	132709245,132705289,132709132,132709113	6	6.47551	29.7645	93670	-
MGP_CASTEiJ_G0025780	Kiz	2	150017213,150017258,150123915	3	6.9186	17.6895	56421.4	-
MGP_CASTEiJ_G0024591	Abi1	2	20480055,20480101,20480101,20479982,20479964,20480047,20479997,20480090,20480045,20480000,20480079,20383671,20386954,20400883,20402623	7	10.7401	12.0544	141850	-
MGP_CASTEiJ_G0025994	Ift52	2	167028309,167028446,167028474,167035383	2	10.1577	49.4125	15479.1	-
MGP_CASTEiJ_G0024915	Zeb2	2	43685670,43680645,43680939,43678214,43680662,43677987,43680550,43678151,43678871,43586239,43677943,43621150,43678853,43678773,43680928,43680749,43680905,43678326,43680944,43678453,43678432,43680908,43678186,43680876,43677775,43678183,43680661,43681132	8	4.16044	25.9036	35863.7	-
MGP_CASTEiJ_G0024802	Ptges2	2	30425648,30426192,30427220	5	6.50462	33.5093	13752.7	-
MGP_CASTEiJ_G0003396	Gm13362	2	18226263	7	7.37447	8.02158	368279	-
MGP_CASTEiJ_G0025590	Sord	2	124296820	4	11.4649	22.3237	53756.8	-
MGP_CASTEiJ_G0024923	Mmadhc	2	49063181,49063203,49063173,49063167,49062917,49055706,49063162,49063287	3	10.5484	20.3447	49443.3	-
MGP_CASTEiJ_G0024905	Arpc5l	2	37316417,37319330,37319395,37319411,37321272	5	6.5058	44.0753	7531.88	-
MGP_CASTEiJ_G0024657	Tmem141	2	23178162,23178142,23178120,23177937,23178128,23178125,23178064	4	7.12821	24.9425	103266	-
MGP_CASTEiJ_G0026145	Tubb1	2	179514267	9	6.64931	17.6684	184323	-
MGP_CASTEiJ_G0026006	Pkig	2	167743909,167743909,167743922,167743938,167743981,167744000,167744003,167746982,167790470	9	4.9149	36.0432	27053.2	-
MGP_CASTEiJ_G0025689	Avp	2	133018601	4	4.96555	46.7298	7765.5	-
MGP_CASTEiJ_G0024508	Fam107b	2	592000,702706,702726,758960,758986,762218	8	10.7412	0.455159	339944	-
MGP_CASTEiJ_G0024793	Plpp7	2	30095013,30095050,30095640	9	4.90281	36.1991	16353.8	-
MGP_CASTEiJ_G0024613	Mrpl41	2	22497822,22497713	6	9.51289	0.455159	328238	-
MGP_CASTEiJ_G0014725	D330023K18Rik	2	29091924,29091924	8	4.63307	39.1867	41542.9	-
MGP_CASTEiJ_G0026007	Ada	2	167846604,167826659	13	3.84042	27.2	26280.4	-
MGP_CASTEiJ_G0025104	Timm10	2	85111971,85112358	6	5.19372	35.2552	8832.25	-
MGP_CASTEiJ_G0025493	Thbs1	2	119889667,119889802,119900729	5	4.47672	49.4584	11169.6	-
MGP_CASTEiJ_G0025483	Actc1	2	115628262,115628931	8	3.99262	32.0843	7939.62	-
MGP_CASTEiJ_G0025333	Pacsin3	2	92139158,92139319,92139348,92139366,92140017,92140017,92140017,92140042,92140533,92140539,92142385,92143008,92143984,92148075,92148268	8	5.20775	32.6039	14893.4	-
MGP_CASTEiJ_G0025811	Pygb	2	154001129,154001163,154003386,154030221,154038170,154042934	12	4.4769	29.1756	24327.8	-
MGP_CASTEiJ_G0025500	Pak6	2	120471117,120471576,120471878,120486373,120486407	7	3.33644	44.5307	9924.63	-
MGP_CASTEiJ_G0024984	Xirp2	2	66771290,66771290,66800231	6	6.34937	27.1617	71157.2	-
MGP_CASTEiJ_G0014774	Gm14207	2	121160946,121160295,121160316	9	3.79402	36.2149	11059.7	-
MGP_CASTEiJ_G0024513	Phyh	2	1957757,1957767,1977665	3	14.3481	0.453735	816855	-
MGP_CASTEiJ_G0024997	Klhl41	2	69116774	6	6.37009	43.6188	12884	-
MGP_CASTEiJ_G0025351	Pex16	2	93349690,93350320,93350507,93350573	4	4.43384	42.7522	8062	-
MGP_CASTEiJ_G0026001	Fitm2	2	167545925	5	4.82166	42.156	19879.2	-
MGP_CASTEiJ_G0026028	Sdc4	2	168588670,168589371	8	5.14969	32.1364	19412.3	-
MGP_CASTEiJ_G0024959	Itgb6	2	59691479,59741354,59741354,59691494,59691461,59691522,59691471,59724307,59724284	7	5.09697	18.7011	29395	-
MGP_CASTEiJ_G0025731	Bmp2	2	136187860	3	3.64843	41.3763	1433.33	-
MGP_CASTEiJ_G0026186	Eef1a2	2	184013990	2	18.4866	0.455159	873614	-
MGP_CASTEiJ_G0026087	B4galt5	2	171732665,171686579,171696644,171696689	10	4.17555	23.5776	21234.5	-
MGP_CASTEiJ_G0026059	Mmp9	2	169124522,169131970,169133037,169134449,169138151	5	5.18001	20.9384	39398.7	-
MGP_CASTEiJ_G0024688	Egfl7	2	24200912,24201914,24204716,24204732,24204757,24209166,24209197,24209208,24209225,24211085,24211874,24213059,24213504,24213568,24213973,24213974,24213985,24214563,24214687	12	3.58654	31.6495	13383.3	-
MGP_CASTEiJ_G0003570	0610039K10Rik	2	167735166,167735166	5	5.18815	67.967	8334.6	-
MGP_CASTEiJ_G0024518	Camk1d	2	2791024,2756341,2756695,2791012	7	11.5425	0.455159	390352	-
MGP_CASTEiJ_G0024555	Hacd1	2	11392907,11392891,11392891,11393006	5	6.74008	21.5384	48837.9	-
MGP_CASTEiJ_G0025808	Acss1	2	153876635,153841964,153841962,153876880,153876591	9	4.60031	25.5045	28650.9	-
MGP_CASTEiJ_G0025321	Ndufs3	2	91748709,91756647,91754509,91749193,91756462,91756522	7	5.24599	30.7243	16352.1	-
MGP_CASTEiJ_G0024834	Mapkap1	2	32580547,32580645,32580648,32580653,32580654,32613968,32620546,32804199	4	6.70939	21.3901	157586	-
MGP_CASTEiJ_G0025568	Map1a	2	123248767,123248937,123254633,123254642	5	8.16186	24.984	69578.9	-
MGP_CASTEiJ_G0025576	Serf2	2	123421906,123422079,123422089,123422094,123422123,123422123	5	6.46288	32.8483	10588.4	-
MGP_CASTEiJ_G0005857	Gm29233	2	119901836	8	4.7329	20.2959	45939.9	-
MGP_CASTEiJ_G0024673	Ubac1	2	23594582,23609612,23597108,23604170,23609397,23598821,23605336,23609431,23609467	2	8.53274	23.2444	18921.7	-
MGP_CASTEiJ_G0025687	Mrps26	2	133000013,133000013	3	5.89869	33.1327	12763.7	-
MGP_CASTEiJ_G0024856	Lhx6	2	34365115,34366334,34366471,34365115,34366471,34355419,34365954,34364647,34366318	6	4.00324	41.7372	12564.6	-
MGP_CASTEiJ_G0026103	Nfatc2	2	173082804,173082699,173042993,173082728,173095647,173095672,173082770,173082804	13	3.8406	23.4767	32593.2	-
MGP_CASTEiJ_G0024517	Ccdc3	2	2186828	5	12.3867	0.455159	695152	-
MGP_CASTEiJ_G0024765	Crat	2	28266144,28257067,28266186,28255673,28265897,28255346,28265681,28265921,28264712,28265891,28265706,28265973,28265780	7	5.4141	36.8878	12863.7	-
MGP_CASTEiJ_G0025621	Hdc	2	128861236,128842849,128861219,128851997,128861857	4	5.75544	28.9144	32738.5	-
MGP_CASTEiJ_G0025390	Cat	2	104681135,104681100	5	7.36688	20.7277	58948.8	-
MGP_CASTEiJ_G0025550	Zfp106	2	122474292,122450070,122474251,122423470,122431244,122435332,122474299,122439249,122442789,122474328,122464658,122474319	9	6.18121	20.5453	291504	-
MGP_CASTEiJ_G0003498	C130080G10Rik	2	115629713,115629774,115630624,115633254,115633279	8	3.99262	32.7812	7636.92	-
MGP_CASTEiJ_G0025530	Ndufaf1	2	121532848,121532823,121532838	4	6.82565	30.2451	123974	-
MGP_CASTEiJ_G0026077	Sulf2	2	170427356,170427967,170427140,170427589,170427909,170345156,170347197,170427110,170426728	7	3.52729	23.1233	35135.9	-
MGP_CASTEiJ_G0024940	Nr4a2	2	56037270,56028268,56028326,56027662	4	7.2917	29.9022	8703.25	-
MGP_CASTEiJ_G0025912	Trp53inp2	2	158958654,158959859,158959885,158959905,158960247	8	5.61527	34.1524	8718.1	-
MGP_CASTEiJ_G0024854	Ndufa8	2	34309025	4	5.21913	32.4882	18815.2	-
MGP_CASTEiJ_G0026128	Rbm38	2	177985601,177985615,177985742,177985813,177986140,177986751	10	3.32574	73.9941	25794.8	-
MGP_CASTEiJ_G0025023	Pdk1	2	71526792,71526888,71526894,71526914,71527119,71527311,71528675,71542743	5	4.99963	36.8345	10483	-
MGP_CASTEiJ_G0024972	Grb14	2	64062072,64064383,64176620,64064308,64081080,64124916,64124893,64179685	8	5.87973	10.2187	51867.5	-
MGP_CASTEiJ_G0025064	Ttn	2	76928681,76928681,76928773,76928731,76884088,76840657,76817749,76817749,76817749,76817749,76817749,76771673,76788892,76778631,76780624,76784336,76786641,76794918,76821327,76840239,76928681,76890278,76928773,76928773,76928773	23	2.94851	26.15	62661.5	-
MGP_CASTEiJ_G0025398	Cd59b	2	105272742	3	7.97297	9.56399	64850.3	-
MGP_CASTEiJ_G0024529	Gata3	2	7085357,7080422,7082149,7096805,7094535,7096773	4	4.01801	34.7579	7686.58	-
MGP_CASTEiJ_G0014783	9830144P21Rik	2	131612400,131616518	13	7.69393	8.80327	151795	-
MGP_CASTEiJ_G0025857	Bcl2l1	2	156171743,156170681,156168555,156170656,156170330,156171127,156170667,156170633,156171725	7	6.14143	33.0741	28918	-
MGP_CASTEiJ_G0025607	Dut	2	127454097,127454408,127454826	1	10.83	91.1811	0	-
MGP_CASTEiJ_G0025740	Mkks	2	139680253,139680260,139680025	5	5.99467	18.2549	62972.5	-
MGP_CASTEiJ_G0024680	Dnlz	2	23963045,23963055	7	4.00164	39.2301	28176.9	-
MGP_CASTEiJ_G0024946	Acvr1	2	57483325,57483325,57540487,57540485,57542569,57502825,57506940	11	4.21666	17.8287	146122	-
MGP_CASTEiJ_G0025053	Nfe2l2	2	75592149,75591997	7	4.52019	16.7487	33090.9	-
MGP_CASTEiJ_G0025923	BC029722	2	159440097	5	5.66913	30.3394	8574.2	-
MGP_CASTEiJ_G0024646	Ptgds	2	23021047,23021251,23020954,23020588,23020348	5	4.54204	33.8918	6393.16	-
MGP_CASTEiJ_G0025749	Ndufaf5	2	143046197,143046220,143046261,143046578	4	7.50318	36.0593	271960	-
MGP_CASTEiJ_G0025910	Map1lc3a	2	158845337,158845583,158845929	5	5.15655	35.0339	14697.5	-
MGP_CASTEiJ_G0025826	Angpt4	2	155184812	6	3.24307	27.0815	12231.5	-
MGP_CASTEiJ_G0025038	Atp5g3	2	73722354,73722355,73722311,73721483,73722320	3	8.18418	32.8709	12105.1	-
MGP_CASTEiJ_G0024539	Pfkfb3	2	8842978,8787775,8787775,8787775,8842823,8784088,8787775,8787374,8787775,8787775,8787764,8787764,8787775,8787775,8787749,8767975,8787691,8787471,8784054,8786976,8786551	7	5.96566	26.9645	20165.3	-
MGP_CASTEiJ_G0025075	Pde1a	2	80266081,80265976,80266081,80266600,80042067,80042033,80042067,80063833,80171786,80266600	6	3.8301	8.08022	103654	-
MGP_CASTEiJ_G0024805	Fam102a	2	30576401,30576402,30576428,30576802,30581258	5	3.88436	44.5425	7240.48	-
MGP_CASTEiJ_G0025863	Pdrg1	2	156371699,156371699,156368751,156371638,156371618,156371634,156371649,156371614	3	5.55511	34.8178	17076.7	-
MGP_CASTEiJ_G0025705	Cenpb	2	133676849	10	5.54304	24.6599	21366.8	-
MGP_CASTEiJ_G0026440	Ptx3	3	65028112,65028452	4	13.7168	24.04	52979	-
MGP_CASTEiJ_G0026756	Plekho1	3	95531814,95534135,95531868,95531814	9	5.939	45.068	29617.8	-
MGP_CASTEiJ_G0026809	Hmgcs2	3	97968972,97968972	5	3.19517	42.3652	12987	-
MGP_CASTEiJ_G0026299	Skil	3	28617837,28618073,28618076,28618076,28618080,28618140,28619839	4	6.22602	32.0591	16227.4	-
MGP_CASTEiJ_G0027160	Tnni3k	3	157888830,157888830,157888773	2	6.57467	27.2916	21738	-
MGP_CASTEiJ_G0027054	Ppa2	3	134880993,134880994,134881005,134881370,134895018,134914850,134915023,134923874,134946156	4	6.34956	18.2124	459806	-
MGP_CASTEiJ_G0026478	Etfdh	3	78908626,78908460,78908446,78908626,78908481,78909263,78908502	1	15.2871	43.1485	0	-
MGP_CASTEiJ_G0026960	S1pr1	3	116239146	9	5.03294	24.9189	22618	-
MGP_CASTEiJ_G0026455	Smc4	3	67800945,67801177,67801198,67801215,67801222,67812789,67812995,67815200,67818465,67820596,67826746	4	8.22518	13.0602	75944.1	-
MGP_CASTEiJ_G0003660	Gm16048	3	90452378	5	6.47936	35.3974	16494	-
MGP_CASTEiJ_G0026991	Abcd3	3	122715038,122715174,122715038,122663157,122714781,122715069	2	7.64703	24.9934	45313	-
MGP_CASTEiJ_G0003603	Gm33051	3	26214391	3	10.5345	18.0299	23100.7	-
